"","ID","livebirths","ALB","AFB","ALBna","age","agesq","year","wealth","wealthz","mobility","subsist","population","edu","contra","propag","proppast","propcult","propHG","proplab","propfish","propagz","proppastz","propcultz","propHGz","proplabz","propfishz","unitpropcult","unitpropHG","unitproplab","unitpropag","unitproppast","unitpropfish","unitpropcultz","unitpropHGz","unitproplabz","unitpropagz","unitproppastz","unitpropfishz","residence","income","market","occ1","occ2","partocc","land","livestock","dietpropmarket","dietpropHG","dietpropfarm","dietpropfish","dietproppast","urban","residencesub","agediff","ageissue","age1","agediff1","ageissue2","propagmax","propcultmax","propfishmax","proppastmax","propHGmax","proplabmax","propfarmmax","occmax","subred","dietprop"
"1117","NI0772",5,NA,14,NA,22,484,2013,14420,-0.516271974125283,0,"hort","Nicaragua",5,"0",0,0,0.5,0,0,0.5,0,0,-0.228574655227213,-0.263241535548324,-0.470508880999783,0.486312560317172,0.5,0.166666666666667,0,0,0,0.333333333333333,-0.713087112448653,2.11842805972525,-0.85953893332743,0,0,0.53088452934041,"village",NA,"low","hort",NA,"hort",NA,0,NA,NA,NA,NA,NA,"transition","farm",NA,NA,NA,NA,NA,0,0.5,0.5,0,0,0,0.5,"hort","hort",NA
"1118","NI0785",10,NA,19,NA,45,2025,2013,18203,-0.48458389131457,0,"hort","Nicaragua",1,"0",0,0,1,0,0,0,0,0,1.53976022377671,-0.263241535548324,-0.470508880999783,-1.23161909182393,0.448412698412698,0.156746031746032,0.0952380952380952,0,0,0.299603174603175,-1.02928313915946,1.9553638468997,-0.0254102218732453,0,0,0.321684554401416,"village",NA,"low","hort",NA,"hort",NA,0.5,NA,NA,NA,NA,NA,"transition","farm",NA,NA,NA,NA,NA,0,1,0,0,0,0,1,"hort","hort",NA
"1119","NI0807",1,NA,17,NA,20,400,2013,40253,-0.299883329333013,0,"hort","Nicaragua",7,"0",0,0,0.4,0,0,0.6,0,0,-0.582241631027998,-0.263241535548324,-0.470508880999783,0.829898890745392,0.428439153439153,0.0349206349206349,0.0876984126984127,0,0,0.448941798941799,-1.15170775462954,-0.04706468659811,-0.091445411530035,0,0,1.24790718854308,"village",NA,"low","hort",NA,NA,NA,0,NA,NA,NA,NA,NA,"transition","farm",NA,NA,NA,NA,0,0,0.4,0.6,0,0,0,0.4,"hort","hort",NA
"1120","NI0819",8,NA,21,NA,36,1296,2013,26740,-0.413074199811778,0,"hort","Nicaragua",2,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"village",NA,"low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"transition","farm",NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,"hort",NA
"1121","NI0882",0,NA,NA,NA,24,576,2013,27162,-0.409539340983832,0,"hort","Nicaragua",7,"0",0,0,1,0,0,0,0,0,1.53976022377671,-0.263241535548324,-0.470508880999783,-1.23161909182393,1,0,0,0,0,0,2.3515820695176,-0.621050715744061,-0.85953893332743,0,0,-1.536503458292,"village",NA,"low","hort",NA,"hort",NA,1.25,NA,NA,NA,NA,NA,"transition","farm",NA,NA,NA,NA,0,0,1,0,0,0,0,1,"hort","hort",NA
"1122","NI0885",6,NA,17,NA,27,729,2013,25694,-0.421835958897162,0,"hort","Nicaragua",NA,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"village",NA,"low","hort",NA,NA,NA,0.75,NA,NA,NA,NA,NA,"transition","farm",NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,"hort","hort",NA
"1123","M002",8,NA,NA,NA,65,4225,2014,0,0,2,"HG","BaYaka",0,"0",0,0,0,0.5,0.5,0,0,0,0,-2.24379161100495,2.81500260477787,-0.23258023830812,0,0.875,0.125,0,0,0,0,-0.494107878038637,0.677146314900218,0,0,-0.174391430792974,"camp",0,"low","forager",NA,"forager",0,0,NA,NA,NA,NA,NA,"rural","HG",NA,NA,NA,NA,NA,0,0,0,0,0.5,0.5,0,"forager","HG",NA
"1124","M003",1,NA,NA,NA,21,441,2014,0,0,2,"HG","BaYaka",0,"0",0,0,0,0.5,0.5,0,0,0,0,-2.24379161100495,2.81500260477787,-0.23258023830812,0,0.5,0.5,0,0,0,0,-3.4197466295832,4.02567204792328,0,0,-0.174391430792974,"camp",0,"low","forager",NA,"forager",0,0,NA,NA,NA,NA,NA,"rural","HG",NA,NA,NA,NA,0,0,0,0,0,0.5,0.5,0,"forager","HG",NA
"1125","M007",0,NA,NA,NA,20,400,2014,0,0,2,"HG","BaYaka",0,"0",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0.875,0.125,0,0,0,0,-0.494107878038637,0.677146314900218,0,0,-0.174391430792974,"camp",0,"low","forager",NA,"forager",0,0,NA,NA,NA,NA,NA,"rural","HG",NA,NA,NA,NA,0,0,0,0,0,0.875,0.125,0,"forager","HG",NA
"1126","M030",0,NA,NA,NA,25,625,2014,0,0,2,"HG","BaYaka",0,"0",0,0,0,1,0,0,0,0,0,0.454438807292142,-0.368631293482817,-0.23258023830812,0,0.95,0.05,0,0,0,0,0.0910198722702747,0.00744116829560684,0,0,-0.174391430792974,"camp",0,"low","forager",NA,"forager",0,0,NA,NA,NA,NA,NA,"rural","HG",NA,NA,NA,NA,0,0,0,0,0,1,0,0,"forager","HG",NA
